                                                                                                                                                                     
{'loss': 10.8006, 'grad_norm': 2.65625, 'learning_rate': 5e-07, 'epoch': 0.0}
{'loss': 10.7915, 'grad_norm': 2.453125, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 10.8025, 'grad_norm': 2.703125, 'learning_rate': 1.5e-06, 'epoch': 0.0}
{'loss': 10.7996, 'grad_norm': 2.6875, 'learning_rate': 2e-06, 'epoch': 0.0}
{'loss': 10.797, 'grad_norm': 2.578125, 'learning_rate': 2.5e-06, 'epoch': 0.0}
{'loss': 10.7892, 'grad_norm': 2.640625, 'learning_rate': 3e-06, 'epoch': 0.0}
{'loss': 10.7907, 'grad_norm': 2.453125, 'learning_rate': 3.5e-06, 'epoch': 0.0}
{'loss': 10.7866, 'grad_norm': 2.671875, 'learning_rate': 4e-06, 'epoch': 0.0}
{'loss': 10.7804, 'grad_norm': 2.796875, 'learning_rate': 4.5e-06, 'epoch': 0.0}
{'loss': 10.7759, 'grad_norm': 2.5, 'learning_rate': 5e-06, 'epoch': 0.0}
{'loss': 10.7724, 'grad_norm': 2.625, 'learning_rate': 5.5e-06, 'epoch': 0.0}
{'loss': 10.7531, 'grad_norm': 2.546875, 'learning_rate': 6e-06, 'epoch': 0.0}
{'loss': 10.7436, 'grad_norm': 2.78125, 'learning_rate': 6.5e-06, 'epoch': 0.0}
{'loss': 10.7304, 'grad_norm': 2.65625, 'learning_rate': 7e-06, 'epoch': 0.0}
{'loss': 10.7198, 'grad_norm': 2.625, 'learning_rate': 7.5e-06, 'epoch': 0.0}
{'loss': 10.7003, 'grad_norm': 2.828125, 'learning_rate': 8e-06, 'epoch': 0.0}
{'loss': 10.6809, 'grad_norm': 2.6875, 'learning_rate': 8.500000000000002e-06, 'epoch': 0.0}
{'loss': 10.6638, 'grad_norm': 2.71875, 'learning_rate': 9e-06, 'epoch': 0.0}
{'loss': 10.6232, 'grad_norm': 2.796875, 'learning_rate': 9.5e-06, 'epoch': 0.0}
{'loss': 10.5707, 'grad_norm': 2.953125, 'learning_rate': 1e-05, 'epoch': 0.0}
{'loss': 10.5519, 'grad_norm': 2.890625, 'learning_rate': 1.0500000000000001e-05, 'epoch': 0.0}
{'loss': 10.5006, 'grad_norm': 3.03125, 'learning_rate': 1.1e-05, 'epoch': 0.0}
